,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
1176,3.51913E+16,0.3213,GALAXY,0.3213,GALAXY,4,3,--|--|--,--|--|--,none,1696.808965,0,1.30E-05,110,3.9431248,9.593353,17.587225,1.1408261,2.7755518,5.088341,0.95384496,0.9686702,0.98235273
1177,3.51913E+16,0.0552,GALAXY,0.0552,GALAXY,4,3,--|--|--,--|--|--,none,5116.219033,0,2.38E-06,42,13.592653,22.276,28.1143,3.496101,5.7295027,7.2311435,0.9425358,0.9609187,0.9779479
1178,3.51913E+16,0.2418,GALAXY,0.2418,GALAXY,4,3,--|--|--,--|--|--,none,589.3096847,0,1.04E-05,23,3.766059,6.923478,8.786469,0.79396087,1.4596083,1.8523642,0.9432511,0.9614098,0.97822744
1179,3.51913E+16,0.3551,GALAXY,0.3551,GALAXY,3.666666667,3,--|--|--,--|--| LRG,none,359.3335968,0,6.40E-05,230,1.539612,7.414502,16.427788,0.7229293,3.4815009,7.713716,0.9418528,0.9604496,0.9776808
1180,3.51913E+16,0.491,GALAXY,0.491,GALAXY,3.666666667,3,--|--|--,--|--| LRG,none,286.8096873,0,9.84E-05,31,1.4715656,6.53586,17.870945,0.532463,2.364899,6.4663224,0.9399536,0.9591446,0.97693753
1181,3.51913E+16,0.3248,GALAXY,0.3248,GALAXY,4,3,--|R|--,--|Two redshifts one at 0.2634 and one at 0.3248|--,"double source! took one redshift, secure.",6420.482483,0,5.14E-06,48,9.050881,21.568697,39.837402,3.2504983,7.746098,14.307049,0.9373008,0.9573203,0.9758977
1182,3.51913E+16,0.2621,GALAXY,0.2621,GALAXY,4,3,--|--|--,--|--|--,none,2140.730441,0,1.38E-05,242,3.5338268,10.760925,23.669186,1.4963392,4.556532,10.022316,0.93745893,0.95742905,0.9759598
1183,3.51913E+16,0.2746,GALAXY,0.2746,GALAXY,3.666666667,3,--|--|--,--|--|LRG,none,60.54759664,0,8.69E-05,220,2.3627467,7.56278,15.31056,0.7974487,2.5525074,5.1674547,0.94419956,0.962061,0.978598
1184,3.51913E+16,0.1058,GALAXY,0.1058,GALAXY,4,3,--|--|--,--|--|--,none,1396.538523,0,5.36E-06,214,7.3779397,12.9621525,18.172995,1.7814379,3.1297722,4.3879538,0.9391797,0.95861256,0.9766344
1185,3.51913E+16,0.2047,GALAXY,0.2047,GALAXY,4,3,--|--|--,--|--|--,none,763.2225919,0,2.93E-05,21,8.907664,27.685907,52.346283,2.3791509,7.394637,13.981184,0.93721884,0.9572639,0.9758656
1186,3.51913E+16,0.2057,GALAXY,0.2057,GALAXY,4,3,--|--|--,--|--| LRG,none,224.6564165,0,6.64E-05,234,2.4082792,7.324542,12.643125,1.2147251,3.6944659,6.377135,0.94301546,0.96124804,0.97813535
1187,3.51913E+16,0.4902,GALAXY,0.4902,GALAXY,4,3,--|--|--,--|--|--,none,417.0003539,0,4.49E-05,236,2.0137782,7.3175883,17.254095,0.7112694,2.584583,6.0941715,0.94055104,0.95955515,0.9771714
1188,3.51913E+16,0.202,GALAXY,0.202,GALAXY,4,3,--|--|--,--|--|--,none,1442.373526,0,7.69E-06,285,6.3282394,14.165654,23.796911,2.0523164,4.5940747,7.7175956,0.9426685,0.9610098,0.97799975
1189,3.51913E+16,0.0994,GALAXY,0.0994,GALAXY,4,3,--|--|--,--|--|--,none,1410.673717,0,4.85E-06,281,4.8145,7.0578847,9.041677,1.7287313,2.5342581,3.246574,0.9347307,0.95555127,0.9748886
1190,3.51913E+16,0.102,GALAXY,0.102,GALAXY,4,3,--|--|--,--|--|--,none,2460.363876,0,3.23E-06,295,4.031377,6.1008806,7.6189046,2.1837256,3.3047392,4.1270256,0.9368285,0.9569953,0.9757124
