,TargetID,Redrock z,Redrock spectype,best redshift,best spectype,vi_combined_flag,N_VI,DELTACHI2,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z,TARGET_RA,TARGET_DEC
1289,35191347774228089,0.1276,GALAXY,0.1276,GALAXY,4.0,3,3910.2562644043933,3701,39.018029999999996,98.61010999999999,188.6861,7.007703,17.710539999999998,33.88834,0.95029163,0.9662379000000001,0.98097223,181.10370307824212,59.000351530937635
1290,35191347774228407,0.0643,GALAXY,0.0643,GALAXY,4.0,3,47108.6739115417,3708,28.69145,44.23901,58.224064,12.933338000000001,19.941763,26.24585,0.9502146999999999,0.9661851999999999,0.9809423,181.13751068568752,59.02404731421141
1291,35191347774228433,0.0327,GALAXY,0.0327,GALAXY,4.0,3,1239.1118420809507,3711,8.29825,12.252739,15.502512,1.6170818,2.3876939999999998,3.020978,0.94907975,0.96540767,0.9805007,181.30514779590072,59.02460310200954
1292,35191347774228435,0.2761,GALAXY,0.2761,GALAXY,4.0,3,1159.0189460106194,3710,4.693333,17.08961,35.756664,2.0730906000000004,7.548644500000001,15.794063000000001,0.9507902,0.9665794,0.9811662,181.00671180827047,59.024793598551376
1293,35191347774228518,0.1269,GALAXY,0.1269,GALAXY,4.0,3,2008.5237625837326,3890,4.254653500000001,7.1176825,10.223537,2.0826473,3.4840962999999996,5.0044084,0.94530374,0.9628187,0.979029,181.4241452048901,59.03159294098366
1294,35191347774228835,0.2053,GALAXY,0.2053,GALAXY,4.0,3,985.2455263333397,3723,5.258741400000001,16.99287,33.354847,2.6489599,8.559735,16.801672,0.9504335999999999,0.9663352,0.9810274999999999,181.20497344756652,59.05730908627636
1295,35191347774228959,0.3471,GALAXY,0.3471,GALAXY,4.0,3,7286.77836894989,3739,6.5565752999999996,13.875164000000002,21.252860000000002,2.1551366,4.560746,6.985784,0.9515822,0.96712166,0.98147404,181.14321892378638,59.067129483756474
1296,35191347774229207,0.2034,GALAXY,0.2034,GALAXY,4.0,3,181.09381409175688,3700,2.429986,6.6516147,11.807345,1.5705943000000002,4.2991967,7.6315455000000005,0.9509162,0.9666655999999999,0.9812151,181.27333225620015,59.07906073235651
1297,35191347774229480,0.1246,GALAXY,0.1246,GALAXY,4.0,3,565.0097264647484,3715,18.082570999999998,29.391132,39.238014,1.3343409,2.1688172999999997,2.895434,0.95194703,0.9673714,0.9816158000000001,181.20551320005225,59.09502231076092
1298,35191347774229520,0.2073,GALAXY,0.2073,GALAXY,4.0,3,1652.5840623378754,3861,4.849776,9.00098,12.538051,1.2419261000000001,2.3049629,3.2107325,0.95135206,0.96696407,0.9813845999999999,181.34150505456097,59.09769266474207
1299,35191347774229760,0.2033,GALAXY,0.2033,GALAXY,4.0,3,2028.695247888565,3878,6.472285299999999,17.22982,33.3246,2.1028860000000003,5.5980763,10.827372,0.95255417,0.96778697,0.98185164,181.2687176310525,59.115447306041425
